C:\Users\BIOMETRICS\Desktop\testRecordingTrigger.c3d



Time(ms):	EMG 9(uV):	
551.0	3.6255	
551.5	6.4454	
552.0	5.4383	
552.5	-4.6326	
553.0	-3.2227	
553.5	-14.7036	
554.0	-6.8482	
554.5	11.6823	
555.0	6.6468	
555.5	-2.4170	
556.0	-0.6043	
556.5	-3.8270	
557.0	-2.6184	
557.5	-9.2653	
558.0	-0.4028	
558.5	1.4099	
559.0	4.2298	
559.5	-6.0426	
560.0	-7.2511	
560.5	-4.4312	
561.0	9.8695	
561.5	-4.2298	
562.0	2.6184	
562.5	2.2156	
563.0	0.4028	
563.5	2.2156	
564.0	11.4809	
564.5	-22.5589	
565.0	-20.3433	
565.5	1.8128	
566.0	1.8128	
566.5	4.0284	
567.0	-5.0355	
567.5	-3.0213	
568.0	-5.0355	
568.5	-1.0071	
569.0	-8.2582	
569.5	1.0071	
570.0	-0.6043	
570.5	-0.2014	
571.0	-7.8553	
571.5	-3.2227	
572.0	8.2582	
572.5	5.2369	
573.0	-1.2085	
573.5	-4.2298	
574.0	-2.8199	
574.5	-2.2156	
575.0	-16.3149	
575.5	-10.4738	
576.0	16.7178	
576.5	3.6255	
577.0	1.8128	
577.5	-5.4383	
578.0	8.6610	
578.5	14.9050	
579.0	-4.4312	
579.5	-16.7178	
580.0	-17.3220	
580.5	-1.6114	
581.0	0.6043	
581.5	11.0780	
582.0	3.8270	
582.5	-1.8128	
583.0	2.2156	
583.5	4.2298	
584.0	4.8341	
584.5	-9.8695	
585.0	-14.3008	
585.5	-10.6752	
586.0	2.4170	
586.5	0.2014	
587.0	4.8341	
587.5	2.8199	
588.0	-3.4241	
588.5	-23.5660	
589.0	-2.4170	
589.5	-11.0780	
590.0	-7.6539	
590.5	1.2085	
591.0	-11.0780	
591.5	3.2227	
592.0	11.0780	
592.5	-0.6043	
593.0	-6.0426	
593.5	-3.4241	
594.0	-8.2582	
594.5	-16.3149	
595.0	-17.7249	
595.5	-2.6184	
596.0	1.8128	
596.5	5.2369	
597.0	-13.4951	
597.5	-13.4951	
598.0	-26.7887	
598.5	-29.4072	
599.0	-21.1490	
599.5	-17.1206	
600.0	-15.9121	
600.5	-17.1206	
601.0	-10.0710	
601.5	-13.0922	
602.0	-10.2724	
602.5	-21.7533	
603.0	-12.4880	
603.5	-5.4383	
604.0	-5.0355	
604.5	-16.3149	
605.0	-20.7462	
605.5	-19.1348	
606.0	-24.7745	
606.5	-5.2369	
607.0	5.4383	
607.5	8.0568	
608.0	-6.2440	
608.5	1.8128	
609.0	-2.2156	
609.5	3.8270	
610.0	4.2298	
610.5	9.8695	
611.0	1.2085	
611.5	6.6468	
612.0	-15.1064	
612.5	8.8624	
613.0	-12.6894	
613.5	-11.0780	
614.0	-1.6114	
614.5	2.6184	
615.0	6.4454	
615.5	7.4525	
616.0	6.0426	
616.5	15.5093	
617.0	13.4951	
617.5	19.9405	
618.0	-1.2085	
618.5	-1.4099	
619.0	-2.4170	
619.5	7.0497	
620.0	10.2724	
620.5	4.0284	
621.0	6.8482	
621.5	-7.0497	
622.0	1.0071	
622.5	12.6894	
623.0	-3.0213	
623.5	-8.0568	
624.0	-1.0071	
624.5	-9.6681	
625.0	-5.0355	
625.5	-11.4809	
626.0	-5.4383	
626.5	6.8482	
627.0	-4.4312	
627.5	4.6326	
628.0	-5.4383	
628.5	-5.8412	
629.0	0.0000	
629.5	-4.6326	
630.0	5.4383	
630.5	5.4383	
631.0	5.4383	
631.5	5.4383	
632.0	5.4383	
632.5	5.4383	
633.0	5.4383	
633.5	5.4383	
634.0	5.4383	
634.5	5.4383	
635.0	5.4383	
635.5	5.4383	
636.0	5.4383	
636.5	5.4383	
637.0	5.4383	
637.5	-0.2014	
638.0	4.6326	
638.5	-0.2014	
639.0	1.8128	
639.5	-9.0639	
640.0	-7.8553	
640.5	-6.2440	
641.0	7.4525	
641.5	13.8979	
642.0	14.3008	
642.5	12.2866	
643.0	2.0142	
643.5	5.0355	
644.0	-3.6255	
644.5	3.8270	
645.0	2.8199	
645.5	2.8199	
646.0	0.4028	
646.5	5.8412	
647.0	-0.4028	
647.5	1.2085	
648.0	1.0071	
